
           Total tracked memory (including duplicates, so too high) = 130769712
Unity  components of total size: 86970323
    Type: NPOI.HSSF.Record.Chart.DefaultTextRecord of size 2
    Type: NPOI.HSSF.Record.Chart.CrtMlFrtContinueRecord of size 2
    Type: NPOI.HSSF.Record.Chart.DataLabExtContentsRecord of size 2
    Type: NPOI.HSSF.Record.Chart.Fbi2Record of size 2
    Type: NPOI.HSSF.Record.Chart.FbiRecord of size 2
    Type: NPOI.HSSF.Record.Chart.DropBarRecord of size 2
    Type: NPOI.HSSF.Record.Chart.EndBlockRecord of size 2
    Type: NPOI.HSSF.Record.Chart.CrtLineRecord of size 2
    Type: NPOI.HSSF.Record.Chart.AxcExtRecord of size 2
    Type: NPOI.HSSF.Record.Chart.AxesUsedRecord of size 2
    Type: NPOI.HSSF.Record.Chart.AlRunsRecord of size 2
    Type: NPOI.HSSF.Record.Chart.AttachedLabelRecord of size 2
    Type: NPOI.HSSF.Record.Chart.CatSerRangeRecord of size 2
    Type: NPOI.HSSF.Record.Chart.Chart3DBarShapeRecord of size 2
    Type: NPOI.HSSF.Record.Chart.BopPopCustomRecord of size 2
    Type: NPOI.HSSF.Record.Chart.BopPopRecord of size 2
    Type: NPOI.HSSF.Record.Chart.FontXRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SerAuxErrBarRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SerAuxTrendRecord of size 2
    Type: NPOI.HSSF.Record.Chart.RichTextStreamRecord of size 2
    Type: NPOI.HSSF.Record.Chart.ScatterRecord of size 2
    Type: NPOI.HSSF.Record.Chart.PieRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SerToCrtRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SerFmtRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SerParentRecord of size 2
    Type: NPOI.HSSF.Record.SheetExtRecord of size 2
    Type: NPOI.HSSF.Record.Chart.GelFrameRecord of size 2
    Type: NPOI.HSSF.Record.Chart.IFmtRecordRecord of size 2
    Type: NPOI.HSSF.Model.PolygonShape of size 2
    Type: NPOI.HSSF.Record.Chart.FrtFontListRecord of size 2
    Type: NPOI.HSSF.Record.Chart.RadarAreaRecord of size 2
    Type: NPOI.HSSF.Record.Chart.RadarRecord of size 2
    Type: NPOI.HSSF.Record.Chart.LegendExceptionRecord of size 2
    Type: NPOI.HSSF.Record.Chart.PicFRecord of size 2
    Type: NPOI.HSSF.Record.UnitsRecord of size 2
    Type: NPOI.HSSF.Record.Chart.ValueRangeRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SeriesToChartGroupRecord of size 2
    Type: NPOI.HSSF.Record.TickRecord of size 2
    Type: NPOI.DDF.EscherTertiaryOptRecord of size 2
    Type: NPOI.HSSF.Record.OldSheetRecord of size 2
    Type: NPOI.HSSF.Record.DConRefRecord of size 2
    Type: NPOI.HSSF.Record.AutoFilter.FilterModeRecord of size 2
    Type: NPOI.HSSF.Record.Chart.PosRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SeriesChartGroupIndexRecord of size 2
    Type: NPOI.HSSF.Record.Chart.PlotGrowthRecord of size 2
    Type: NPOI.HSSF.Record.Chart.PlotAreaRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SeriesLabelsRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SeriesListRecord of size 2
    Type: NPOI.HSSF.Record.Chart.SeriesIndexRecord of size 2
    Type: NPOI.SS.Formula.PTG.DeletedArea3DPtg of size 1
    Type: NPOI.SS.Formula.PTG.AreaPtg of size 1
    Type: NPOI.SS.Formula.PTG.MemFuncPtg of size 1
    Type: NPOI.SS.Formula.PTG.RefPtg of size 1
    Type: NPOI.SS.Formula.PTG.RefNPtg of size 1
    Type: NPOI.POIFS.Storage.DocumentBlock of size 1
    Type: NPOI.SS.Formula.PTG.DeletedRef3DPtg of size 1
    Type: NPOI.HSSF.UserModel.HSSFConditionalFormattingRule of size 1
    Type: NPOI.Util.ByteField of size 1
    Type: NPOI.SS.Formula.PTG.AreaErrPtg of size 1
Assembly: System.Xml, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089 of total size: 269561
    Type: System.Xml.XmlConstructs of size 65624
    Type: System.Xml.Serialization.TypeTranslator of size 60188
    Type: System.Xml.Schema.XmlSchemaSimpleType of size 25512
    Type: Mono.Xml.XPath.XPathParser of size 11236
    Type: Mono.Xml.Xsl.XsltPatternParser of size 11158
    Type: Mono.Xml.Xsl.XsltPatternParser+YYRules of size 11128
    Type: Mono.Xml.XPath.XPathParser+YYRules of size 11120
    Type: System.Xml.Schema.XmlSchemaDatatype of size 10680
    Type: System.Xml.XmlTextWriter+StringUtil of size 10426
    Type: System.Xml.XmlConvert of size 6972
    Type: Consts of size 4536
    Type: System.Xml.Schema.XmlSchemaType of size 4032
    Type: System.Xml.Serialization.TypeData of size 3904
    Type: Mono.Xml.Xsl.Tokenizer of size 3390
    Type: Mono.Xml.XPath.Tokenizer of size 3390
    Type: System.Xml.Schema.XsdInference of size 3376
    Type: System.Xml.Serialization.XmlSerializer of size 2748
    Type: System.Xml.XmlChar of size 2432
    Type: System.Xml.Serialization.XmlCustomFormatter of size 1720
    Type: Mono.Xml.Schema.XsdTime of size 1576
    Type: Mono.Xml.Xsl.XslDecimalFormat of size 1372
    Type: Mono.Xml.Xsl.Operations.XslNumber+XslNumberFormatter+RomanItem of size 1180
    Type: System.Xml.XmlInputStream of size 1032
    Type: System.Xml.XmlTextWriter of size 802
    Type: System.Xml.Serialization.XmlReflectionImporter of size 712
    Type: System.Xml.XmlNamespaceManager of size 680
    Type: System.Xml.Serialization.XmlSchemaImporter of size 672
    Type: System.Xml.XPath.ExpressionCache of size 412
    Type: System.Xml.XmlStreamReader of size 392
    Type: System.Xml.Serialization.XmlSerializerFactory of size 364
    Type: System.Xml.Schema.XmlSchema of size 360
    Type: System.Xml.Serialization.XmlSerializationWriter of size 360
    Type: Mono.Xml.Schema.XsdBase64Binary of size 307
    Type: Mono.Xml.Xsl.XslStylesheet of size 296
    Type: Mono.Xml.Xsl.Token of size 272
    Type: Mono.Xml.XPath.Token of size 272
    Type: System.Xml.Schema.XmlSchemaComplexType of size 224
    Type: System.Xml.Serialization.XmlSerializationReaderInterpreter of size 208
    Type: Mono.Xml.XPath.XmlNamespaces of size 200
    Type: System.Xml.XmlDocumentNavigator of size 192
    Type: System.Xml.XmlDocument of size 176
    Type: Mono.Xml.Schema.XsdAnySimpleType of size 170
    Type: Mono.Xml.Xsl.Operations.XslNumber+XslNumberFormatter+AlphaItem of size 152
    Type: System.Xml.XmlException of size 136
    Type: Mono.Xml.Xsl.XslDefaultNodeTemplate of size 136
    Type: Mono.Xml.Xsl.Operations.XslOperation of size 104
    Type: System.Xml.Serialization.XmlSchemas of size 104
    Type: System.Xml.XmlQualifiedName of size 104
    Type: Mono.Xml.Xsl.Compiler of size 104
    Type: System.Xml.Schema.XmlSchemaSerializationWriter of size 88
    Type: System.Xml.Serialization.XmlSerializationWriterInterpreter of size 88
    Type: Mono.Xml.Xsl.XsltDocument of size 80
    Type: System.Xml.XPath.XPathNavigator of size 66
    Type: System.Xml.Xsl.XsltSettings of size 64
    Type: System.Xml.XPath.ExprSLASH2 of size 64
    Type: System.Xml.XmlNode+EmptyNodeList of size 64
    Type: System.Xml.XmlNamedNodeMap of size 64
    Type: Mono.Xml.Xsl.Operations.XslMessage of size 60
    Type: System.Xml.Schema.XmlSchemaFractionDigitsFacet of size 56
    Type: System.Xml.Schema.XmlSchemaMaxExclusiveFacet of size 56
    Type: System.Xml.Schema.XmlSchemaAttributeGroupRef of size 56
    Type: System.Xml.Schema.XmlSchemaAttributeGroup of size 56
    Type: System.Xml.Schema.XmlSchemaAnyAttribute of size 56
    Type: System.Xml.Schema.XmlSchemaComplexContent of size 56
    Type: System.Xml.Schema.XmlSchemaSimpleContent of size 56
    Type: System.Xml.Schema.XmlSchemaSimpleTypeRestriction of size 56
    Type: System.Xml.Schema.XmlSchemaMinInclusiveFacet of size 56
    Type: System.Xml.Schema.XmlSchemaMaxInclusiveFacet of size 56
    Type: System.Xml.Schema.XmlSchemaMinExclusiveFacet of size 56
    Type: System.Xml.Schema.XmlSchemaSimpleContentRestriction of size 48
    Type: System.Xml.Schema.XmlSchemaComplexContentExtension of size 48
    Type: System.Xml.Schema.XmlSchemaSimpleContentExtension of size 48
    Type: System.Xml.Schema.XmlSchemaRedefine of size 48
    Type: System.Xml.Schema.XmlSchemaEnumerationFacet of size 48
    Type: System.Xml.Schema.XmlSchemaMaxLengthFacet of size 48
    Type: System.Xml.Schema.XmlSchemaSequence of size 48
    Type: System.Xml.Schema.XmlSchemaNotation of size 48
    Type: System.Xml.Schema.XmlSchemaMinLengthFacet of size 48
    Type: System.Xml.Schema.XmlSchemaAttribute of size 48
    Type: System.Xml.Schema.XmlSchemaWhiteSpaceFacet of size 48
    Type: System.Xml.Schema.XmlSchemaTotalDigitsFacet of size 48
    Type: System.Xml.Schema.XmlSchemaComplexContentRestriction of size 48
    Type: System.Xml.Schema.XmlSchemaAnnotation of size 48
    Type: System.Xml.Schema.XmlSchemaChoice of size 40
    Type: System.Xml.Schema.XmlSchemaElement of size 40
    Type: System.Xml.Schema.XmlSchemaLengthFacet of size 40
    Type: System.Xml.Schema.XmlSchemaKeyref of size 40
    Type: System.Xml.Schema.XmlSchemaGroupRef of size 40
    Type: System.Xml.Schema.XmlSchemaImport of size 40
    Type: System.Xml.Schema.XmlSchemaInclude of size 40
    Type: System.Xml.Schema.XmlSchemaUnique of size 40
    Type: System.Xml.Schema.XmlSchemaPatternFacet of size 40
    Type: System.Xml.Schema.XmlSchemaSimpleTypeList of size 40
    Type: System.Xml.Schema.XmlSchemaSimpleTypeUnion of size 40
    Type: System.Xml.Schema.XmlSchemaGroup of size 40
    Type: System.Xml.Schema.XmlSchemaAll of size 32
    Type: System.Xml.Schema.XmlSchemaKey of size 32
    Type: System.Xml.XPath.XPathFunctionId of size 32
    Type: System.Xml.Schema.XmlSchemaValidator of size 32
    Type: System.Xml.Schema.XmlSchemaAny of size 32
    Type: Mono.Xml.Schema.XmlSchemaValidatingReader of size 32
    Type: Mono.Xml.Schema.XsdValidatingReader of size 32
    Type: Mono.Xml.Schema.XsdValidationState of size 24
    Type: System.Xml.XmlNode of size 24
    Type: System.Xml.XPath.XPathIteratorComparer of size 24
    Type: System.Xml.XPath.XPathNavigatorComparer of size 24
    Type: Mono.Xml.Xsl.Operations.XslGlobalVariable of size 24
    Type: System.Xml.Serialization.ReflectionHelper of size 24
    Type: Mono.Xml.Xsl.XslDefaultTextTemplate of size 24
    Type: Mono.Xml.Xsl.XslEmptyTemplate of size 24
    Type: Mono.Xml.Xsl.XslTransformProcessor of size 24
    Type: System.Xml.Schema.XmlSchemaUtil of size 16
    Type: System.Xml.NonBlockingStreamReader of size 12
    Type: System.Xml.Serialization.XmlTypeMapMember of size 12
    Type: Mono.Xml2.XmlTextReader of size 4
    Type: Mono.Xml.XPath.XmlDocumentEditableNavigator of size 4
    Type: System.Xml.Xsl.XslTransform of size 4
    Type: System.Xml.Schema.XmlSchemaFacet of size 4
    Type: Mono.Xml.DTDObjectModel of size 4
    Type: Mono.Xml.Xsl.XslTemplate of size 4
    Type: System.Xml.DTDReader of size 4
    Type: System.Xml.NameTable of size 4
Assembly: System, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089 of total size: 248754
    Type: System.Net.Mail.AttachmentBase+MimeTypes of size 76958
    Type: System.ComponentModel.TypeDescriptor of size 36184
    Type: System.Diagnostics.DiagnosticsConfiguration of size 21952
    Type: System.Text.RegularExpressions.Regex of size 15718
    Type: System.Net.WebHeaderCollection of size 15514
    Type: System.CodeDom.Compiler.CompilerCollection of size 6540
    Type: System.UriParser of size 6072
    Type: System.Net.ServicePointManager of size 4576
    Type: Consts of size 4536
    Type: Mono.CSharp.CSharpCodeGenerator of size 3904
    Type: System.Uri of size 3388
    Type: System.Net.EndPointManager of size 2788
    Type: System.Net.Configuration.SettingsSection of size 2568
    Type: System.ComponentModel.Design.StandardCommands of size 2200
    Type: System.Net.Configuration.RequestCachingSection of size 1988
    Type: System.Net.NetworkInformation.UnixIPInterfaceProperties of size 1876
    Type: System.Text.RegularExpressions.CILCompiler of size 1804
    Type: System.CodeDom.Compiler.Compiler of size 1788
    Type: System.Net.Configuration.DefaultProxySection of size 1776
    Type: System.Net.Configuration.ServicePointManagerElement of size 1600
    Type: System.CodeDom.Compiler.CodeGenerator of size 1520
    Type: System.Net.Configuration.ProxyElement of size 1284
    Type: System.Net.Configuration.HttpWebRequestElement of size 1216
    Type: System.Security.Cryptography.Oid of size 1168
    Type: System.Net.FtpWebRequest of size 1136
    Type: System.Net.Configuration.HttpCachePolicyElement of size 1028
    Type: System.Configuration.SettingElement of size 1000
    Type: System.Diagnostics.TraceImpl of size 876
    Type: System.Configuration.UriSection of size 776
    Type: System.Net.Configuration.ConnectionManagementElement of size 716
    Type: System.Net.Configuration.SocketElement of size 696
    Type: System.CodeDom.Compiler.CodeDomConfigurationHandler of size 672
    Type: System.Net.DigestClient of size 656
    Type: System.CodeDom.Compiler.CompilerProviderOption of size 640
    Type: System.Net.Configuration.WebRequestModuleElement of size 608
    Type: System.Net.Mail.SmtpClient+HeaderName of size 600
    Type: System.ComponentModel.ToolboxItemAttribute of size 592
    Type: System.Net.Configuration.ConnectionManagementSection of size 576
    Type: System.Net.WebRequest of size 564
    Type: System.Net.Configuration.WebRequestModulesSection of size 528
    Type: System.Net.Configuration.AuthenticationModulesSection of size 496
    Type: System.Net.WebRequestMethods+Ftp of size 496
    Type: System.Net.Configuration.SmtpSpecifiedPickupDirectoryElement of size 472
    Type: System.Configuration.ClientSettingsSection of size 464
    Type: System.Net.MonoHttpDate of size 440
    Type: System.Net.Configuration.WebProxyScriptElement of size 432
    Type: System.Configuration.CustomizableFileSettingsProvider of size 420
    Type: System.Net.Configuration.Ipv6Element of size 412
    Type: System.Net.Configuration.PerformanceCountersElement of size 412
    Type: System.Configuration.IriParsingElement of size 412
    Type: System.Net.Configuration.AuthenticationModuleElement of size 408
    Type: System.Net.Configuration.ModuleElement of size 408
    Type: System.Net.Configuration.BypassElement of size 408
    Type: System.ComponentModel.Design.CheckoutException of size 384
    Type: System.Net.Mime.MediaTypeNames+Application of size 376
    Type: System.Net.NetworkInformation.Ping of size 372
    Type: Mono.Http.NtlmClient of size 364
    Type: Microsoft.Win32.SystemEvents of size 364
    Type: System.Net.Configuration.FtpCachePolicyElement of size 340
    Type: System.Configuration.IdnElement of size 332
    Type: System.Diagnostics.XmlWriterTraceListener of size 328
    Type: System.Net.IPAddress of size 320
    Type: System.Collections.Generic.RBTree of size 320
    Type: Microsoft.VisualBasic.VBCodeCompiler of size 288
    Type: Mono.CSharp.CSharpCodeCompiler of size 288
    Type: System.Text.RegularExpressions.Match of size 288
    Type: System.Net.DigestHeaderParser of size 272
    Type: System.ComponentModel.DesignerCategoryAttribute of size 264
    Type: System.Net.HttpListenerRequest of size 243
    Type: System.Net.Mime.MediaTypeNames+Text of size 240
    Type: System.Net.WebRequestMethods+Http of size 224
    Type: System.Diagnostics.EventLog of size 184
    Type: System.Net.Mime.MediaTypeNames+Image of size 184
    Type: System.Security.Cryptography.X509Certificates.X509Certificate2 of size 181
    Type: System.Text.RegularExpressions.Group of size 168
    Type: System.Net.IPv6Address of size 160
    Type: System.Net.NetworkInformation.MibIPGlobalProperties of size 140
    Type: System.Net.CredentialCache of size 136
    Type: System.Net.WebClient of size 136
    Type: System.Security.Cryptography.X509Certificates.PublicKey of size 136
    Type: System.Net.Cookie of size 130
    Type: System.ComponentModel.Design.StandardToolWindows of size 128
    Type: System.Security.Cryptography.X509Certificates.X509SubjectKeyIdentifierExtension of size 120
    Type: System.Security.Cryptography.X509Certificates.X509BasicConstraintsExtension of size 112
    Type: System.Security.Cryptography.X509Certificates.X509EnhancedKeyUsageExtension of size 112
    Type: System.Diagnostics.DefaultTraceListener of size 108
    Type: System.Security.Permissions.ResourcePermissionBase of size 108
    Type: System.Security.Cryptography.X509Certificates.X509KeyUsageExtension of size 100
    Type: System.ComponentModel.EventDescriptorCollection of size 96
    Type: System.ComponentModel.PropertyDescriptorCollection of size 96
    Type: System.IO.Ports.WinSerialStream of size 96
    Type: System.Net.NetworkInformation.IPAddressInformationImplCollection of size 88
    Type: System.Net.Mime.ContentDisposition of size 88
    Type: System.Net.NetworkInformation.Win32IPAddressCollection of size 88
    Type: System.Net.NetworkInformation.UnicastIPAddressInformationImplCollection of size 88
    Type: System.Net.NetworkInformation.Win32GatewayIPAddressInformationCollection of size 88
    Type: System.Net.NetworkInformation.MulticastIPAddressInformationImplCollection of size 88
    Type: System.Net.NetworkInformation.LinuxGatewayIPAddressInformationCollection of size 88
    Type: System.Collections.Generic.LinkedList`1[[GameClient.BeTownPlayer+MoveCommand, Assembly-CSharp, Version=2.0.0.668, Culture=neutral, PublicKeyToken=null]] of size 88
    Type: System.Collections.Generic.LinkedList`1[[System.ComponentModel.TypeDescriptionProvider, System, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 88
    Type: System.CodeDom.Compiler.CompilerProviderOptionsCollection of size 88
    Type: System.Diagnostics.DelimitedListTraceListener of size 88
    Type: System.Diagnostics.LocalFileEventLog of size 88
    Type: System.Net.Mime.DispositionTypeNames of size 88
    Type: System.ComponentModel.AttributeCollection of size 88
    Type: System.Diagnostics.TraceImplSettings of size 80
    Type: System.Net.Sockets.SocketPolicyClient of size 76
    Type: System.ComponentModel.DesignerSerializationVisibilityAttribute of size 72
    Type: System.ComponentModel.RefreshPropertiesAttribute of size 72
    Type: System.Configuration.ConfigurationData of size 72
    Type: System.ComponentModel.InheritanceAttribute of size 72
    Type: System.Net.HttpVersion of size 64
    Type: System.Net.WebRequestMethods+File of size 64
    Type: System.Diagnostics.CounterSample of size 60
    Type: System.IO.Compression.DeflateStream of size 60
    Type: System.Net.NetworkInformation.IcmpV6MessageTypes of size 60
    Type: System.ComponentModel.TypeConverterAttribute of size 56
    Type: System.Diagnostics.SourceSwitch of size 56
    Type: System.ComponentModel.DisplayNameAttribute of size 56
    Type: System.Net.Mime.ContentType of size 56
    Type: System.ComponentModel.DescriptionAttribute of size 56
    Type: System.IO.SearchPattern2 of size 56
    Type: System.ComponentModel.MergablePropertyAttribute of size 48
    Type: System.ComponentModel.NotifyParentPropertyAttribute of size 48
    Type: System.ComponentModel.LookupBindingPropertiesAttribute of size 48
    Type: System.ComponentModel.ListBindableAttribute of size 48
    Type: System.ComponentModel.LocalizableAttribute of size 48
    Type: System.ComponentModel.PasswordPropertyTextAttribute of size 48
    Type: System.ComponentModel.SettingsBindableAttribute of size 48
    Type: System.Configuration.ConfigurationSettings of size 48
    Type: System.ComponentModel.RunInstallerAttribute of size 48
    Type: System.ComponentModel.ReadOnlyAttribute of size 48
    Type: System.ComponentModel.RecommendedAsConfigurableAttribute of size 48
    Type: System.ComponentModel.DesignOnlyAttribute of size 48
    Type: System.Net.WebConnection of size 48
    Type: System.ComponentModel.DataObjectAttribute of size 48
    Type: System.Collections.Generic.SortedDictionary`2+NodeHelper[[System.Char, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[System.Char, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 48
    Type: System.Collections.Generic.SortedDictionary`2+NodeHelper[[System.String, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[System.Boolean, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 48
    Type: System.ComponentModel.BrowsableAttribute of size 48
    Type: System.ComponentModel.DesignTimeVisibleAttribute of size 48
    Type: System.ComponentModel.BindableAttribute of size 48
    Type: System.ComponentModel.ImmutableObjectAttribute of size 48
    Type: System.CodeDom.Compiler.IndentedTextWriter of size 40
    Type: System.Net.NetworkInformation.NetworkInterface of size 36
    Type: System.IO.DefaultWatcher of size 32
    Type: System.Diagnostics.ProcessStartInfo of size 32
    Type: System.ComponentModel.ComplexBindingPropertiesAttribute of size 32
    Type: System.IO.FAMWatcher of size 28
    Type: System.IO.Ports.SerialPort of size 28
    Type: System.Net.EndpointPermission of size 26
    Type: System.Net.ResponseStream of size 26
    Type: System.Net.WebConnectionStream of size 26
    Type: System.Net.DigestSession of size 24
    Type: System.ComponentModel.ParenthesizePropertyNameAttribute of size 24
    Type: System.ComponentModel.DefaultPropertyAttribute of size 24
    Type: System.ComponentModel.LicenseManager of size 24
    Type: System.ComponentModel.DefaultEventAttribute of size 24
    Type: System.ComponentModel.CategoryAttribute of size 24
    Type: System.ComponentModel.DefaultBindingPropertyAttribute of size 24
    Type: System.Configuration.DefaultConfig of size 24
    Type: System.Security.Cryptography.X509Certificates.X509Chain of size 24
    Type: System.IO.FileSystemWatcher of size 24
    Type: System.Net.CookieCollection of size 24
    Type: System.Net.AuthenticationManager of size 24
    Type: System.IO.InotifyWatcher of size 20
    Type: System.ComponentModel.Design.Serialization.MemberRelationship of size 16
    Type: System.IO.InotifyEvent of size 16
    Type: System.Text.RegularExpressions.Syntax.CharacterClass of size 16
    Type: System.IO.Ports.DCB of size 16
    Type: System.Net.NetworkInformation.Win32_IP_ADAPTER_ADDRESSES of size 16
    Type: System.Net.Sockets.Socket of size 12
    Type: System.Net.CookieContainer of size 12
    Type: System.Net.NetworkInformation.LinuxNetworkInterface of size 12
    Type: System.Diagnostics.Stopwatch of size 12
    Type: System.IO.KeventWatcher of size 12
    Type: System.Net.NetworkInformation.Win32_IP_ADAPTER_INFO of size 12
    Type: System.Net.NetworkInformation.Win32_MIB_IFROW of size 12
    Type: System.Net.NetworkInformation.MacOsNetworkInterface of size 12
    Type: System.Net.NetworkInformation.Win32_FIXED_INFO of size 12
    Type: System.Collections.Generic.RBTree+Node of size 8
    Type: System.Net.NetworkInformation.Win32LengthFlagsUnion of size 8
    Type: System.Net.ServicePointManager+ChainValidationHelper of size 8
    Type: System.Diagnostics.Win32EventLog+PInvoke of size 8
    Type: System.Net.IPEndPoint of size 8
    Type: System.Net.NetworkInformation.Win32IPGlobalProperties of size 8
    Type: System.Net.DnsPermission of size 4
    Type: System.Net.Configuration.ConnectionManagementData of size 4
    Type: System.Media.SoundPlayer of size 4
    Type: System.Collections.Specialized.HybridDictionary of size 4
    Type: System.Collections.Generic.Stack`1[[System.Single, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 4
    Type: System.Net.HttpWebRequest of size 4
    Type: System.Net.HttpConnection of size 4
    Type: Mono.Audio.AudioData of size 4
    Type: System.Diagnostics.PerformanceCounterPermissionEntry of size 4
    Type: System.Diagnostics.PerformanceCounter of size 4
    Type: System.ComponentModel.MaskedTextProvider of size 4
    Type: System.Diagnostics.Win32EventLog of size 4
    Type: System.IO.Ports.Timeouts of size 4
    Type: System.IO.InvalidDataException of size 4
    Type: System.Collections.Generic.Stack`1[[System.Int32, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 4
    Type: System.Net.Mail.SmtpPermission of size 4
    Type: System.Text.RegularExpressions.RxInterpreter of size 4
    Type: System.Text.RegularExpressions.QuickSearch of size 4
    Type: System.Security.Permissions.StorePermission of size 4
    Type: System.Web.AspNetHostingPermission of size 4
    Type: System.Collections.Generic.Stack`1[[System.Collections.Generic.List`1[[UnityEngine.EventSystems.IEventSystemHandler, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]], mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 4
    Type: System.Collections.Generic.Stack`1[[DG.Tweening.Tween, DOTween, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 4
    Type: System.Collections.Generic.Stack`1[[System.Windows.Forms.DebugHelper+Data, System.Windows.Forms, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 4
    Type: System.Security.Cryptography.X509Certificates.X500DistinguishedName of size 4
    Type: System.Collections.Generic.Stack`1[[UnityEditor.PropertyDrawer, UnityEditor, Version=0.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 4
    Type: System.Net.NetworkInformation.NetworkInformationPermission of size 4
    Type: System.Collections.Generic.Stack`1[[System.String, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 4
    Type: System.Collections.Generic.SortedList`2[[System.String, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089],[System.Object, mscorlib, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b77a5c561934e089]] of size 4
    Type: System.Net.SocketPermission of size 4
    Type: System.Collections.Generic.Stack`1[[UnityEngine.UI.LayoutRebuilder, UnityEngine.UI, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null]] of size 4
    Type: System.Net.NetworkInformation.Win32_SOCKET_ADDRESS of size 4
Assembly: System.Configuration, Version=2.0.0.0, Culture=neutral, PublicKeyToken=b03f5f7f11d50a3a of total size: 176534
    Type: System.Configuration.ConfigurationManager of size 160856
    Type: Consts of size 4536
    Type: System.Configuration.ElementMap of size 2752
    Type: System.Configuration.ProtectedConfigurationSection of size 880
    Type: System.Configuration.ConnectionStringSettings of size 848
    Type: System.Configuration.AppSettingsSection of size 840
    Type: System.Configuration.SectionInfo of size 808
    Type: System.Configuration.NameValueConfigurationElement of size 640
    Type: System.Configuration.KeyValueConfigurationElement of size 632
    Type: System.Configuration.ProviderSettings of size 576
    Type: System.Configuration.ExeConfigurationHost of size 488
    Type: System.Configuration.ConnectionStringsSection of size 480
    Type: System.Configuration.SectionGroupInfo of size 476
    Type: System.Configuration.ProtectedProviderSettings of size 464
    Type: System.Configuration.DpapiProtectedConfigurationProvider of size 440
    Type: System.Configuration.ProtectedConfiguration of size 256
    Type: System.Configuration.TimeSpanValidatorAttribute of size 160
    Type: System.Configuration.IgnoreSection of size 88
    Type: System.Configuration.NameValueConfigurationCollection of size 88
    Type: System.Configuration.ProviderSettingsCollection of size 88
    Type: System.Configuration.DefaultSection of size 88
    Type: System.Configuration.ConfigurationLocation of size 26
    Type: System.Configuration.ConfigurationProperty of size 24
Assembly: NPOI.OpenXmlFormats, Version=2.2.0.0, Culture=neutral, PublicKeyToken=0df73ec7942b34e1 of total size: 136800
    Type: NPOI.OpenXmlFormats.ExtendedPropertiesDocument of size 90768
    Type: NPOI.OpenXmlFormats.Spreadsheet.SingleXmlCellsDocument of size 46032
Assembly: UnityScript, Version=1.0.0.0, Culture=neutral, PublicKeyToken=null of total size: 136188
    Type: UnityScript.Parser.UnityScriptLexer of size 123760
    Type: UnityScript.Parser.UnityScriptParser of size 10920
    Type: UnityScript.Core.Pragmas of size 512
    Type: UnityScript.Parser.UnityScriptTokenTypes of size 488
    Type: UnityScript.Steps.ProcessEvalInvocations of size 192
    Type: UnityScript.TypeSystem.UnityScriptTypeSystem of size 144
    Type: UnityScript.Steps.EvaluationDomainProviderImplementor of size 48
    Type: UnityScript.Core.BaseTypeAnnotations of size 48
    Type: UnityScript.Scripting.Evaluator of size 24
    Type: UnityScript.Steps.EvalAnnotation of size 24
    Type: UnityScript.Core.DeclarationAnnotations of size 24
    Type: UnityScript.UnityScriptCompilerParameters of size 4
Assembly: SyntaxTree.VisualStudio.Unity.Bridge, Version=2.3.0.0, Culture=neutral, PublicKeyToken=null of total size: 113031
    Type: SyntaxTree.VisualStudio.Unity.Bridge.VisualStudioIntegration of size 80784
    Type: SyntaxTree.VisualStudio.Unity.Bridge.Resources.Strings of size 23511
